,Id,Id2,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; PLACE OF WORK - Worked in state of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence,Total; Estimate; PLACE OF WORK - Worked outside state of residence,Total; Estimate; Living in a place,Total; Estimate; Living in a place - Worked in place of residence,Total; Estimate; Living in a place - Worked outside place of residence,Total; Estimate; Not living in a place,Total; Estimate; Living in 12 selected states,Total; Estimate; Living in 12 selected states - Worked in minor civil division of residence,Total; Estimate; Living in 12 selected states - Worked outside minor civil division of residence,Total; Estimate; Not living in 12 selected states,Total; Estimate; Workers 16 years and over who did not work at home,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - No vehicle available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 1 vehicle available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 2 vehicles available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 3 or more vehicles available,Total; Estimate; PERCENT IMPUTED - Means of transportation to work,Total; Estimate; PERCENT IMPUTED - Private vehicle occupancy,Total; Estimate; PERCENT IMPUTED - Place of work,Total; Estimate; PERCENT IMPUTED - Time leaving home to go to work,Total; Estimate; PERCENT IMPUTED - Travel time to work,Total; Estimate; PERCENT IMPUTED - Vehicles available,County,Jurisdiction
0,0600000US0600190020,600190020,36909,70.8,61.8,9.0,7.0,1.6,0.5,1.07,15.2,4.2,1.6,1.5,6.6,99.4,67.0,32.5,0.6,100.0,26.3,73.7,0.0,0.0,0.0,0.0,100.0,34459,2.4,3.4,3.0,6.2,7.0,13.1,12.2,17.7,8.2,26.9,9.1,11.6,13.4,13.7,5.6,15.2,8.6,12.8,10.0,28.7,36550,4.0,28.4,42.9,24.6,5.7,6.4,7.7,10.8,7.7,0.5,Alameda,Alameda
1,0600000US0600190200,600190200,62935,45.5,38.4,7.0,4.3,1.9,0.8,1.1,20.7,13.9,8.2,1.4,10.3,99.3,70.2,29.1,0.7,100.0,43.3,56.7,0.0,0.0,0.0,0.0,100.0,56471,1.0,0.9,1.7,3.0,3.8,9.0,12.8,18.3,12.5,37.1,9.1,15.0,16.6,12.5,4.9,15.4,7.3,9.4,9.8,27.4,60925,10.5,36.4,36.5,16.6,6.7,7.1,7.1,11.7,8.3,0.9,Alameda,Berkeley
2,0600000US0600191070,600191070,134730,86.5,75.4,11.1,9.3,1.2,0.6,1.07,7.3,1.3,0.4,1.0,3.4,99.7,52.8,46.9,0.3,100.0,24.7,75.3,0.0,0.0,0.0,0.0,100.0,130167,2.9,2.3,2.9,5.7,6.4,19.0,11.1,15.9,8.0,25.9,7.0,10.6,13.4,12.1,6.1,19.2,10.3,11.0,10.2,29.4,134427,2.3,13.4,43.0,41.3,5.7,7.1,7.1,10.1,7.1,0.7,Alameda,Fremont
3,0600000US0600191260,600191260,167333,84.3,72.7,11.5,8.4,2.0,1.1,1.08,9.1,1.9,0.4,1.1,3.2,99.8,71.3,28.5,0.2,99.0,18.5,80.5,1.0,0.0,0.0,0.0,100.0,161901,5.1,3.6,5.0,8.2,8.0,15.6,11.6,11.5,4.7,26.6,6.8,11.4,14.1,15.0,6.3,16.6,8.4,10.7,10.9,29.0,166799,2.6,18.2,39.8,39.4,6.3,7.6,8.3,11.2,9.0,0.7,Alameda,Hayward
4,0600000US0600191660,600191660,98630,84.5,75.6,8.9,7.3,1.2,0.5,1.06,5.9,2.1,0.8,0.8,5.9,99.6,67.5,32.0,0.4,98.3,33.1,65.2,1.7,0.0,0.0,0.0,100.0,92777,2.9,3.2,4.1,7.6,9.3,14.1,13.9,14.4,7.4,23.1,13.0,14.6,12.2,9.9,4.2,10.3,8.4,13.4,14.2,29.8,98485,1.3,13.5,43.4,41.7,5.7,6.8,6.7,10.6,7.4,0.5,Alameda,Livermore-Pleasanton
5,0600000US0600192230,600192230,192654,66.4,55.3,11.2,7.1,3.1,1.0,1.11,18.1,4.2,2.6,1.8,6.8,99.5,68.0,31.6,0.5,100.0,40.8,59.2,0.0,0.0,0.0,0.0,100.0,179617,2.9,2.4,2.6,6.9,6.3,12.9,12.9,16.2,8.6,28.4,6.7,12.4,16.6,15.2,5.3,16.4,7.8,9.2,10.3,28.3,191595,7.4,33.0,37.7,21.9,6.6,7.8,8.0,12.8,10.5,0.7,Alameda,Oakland
6,0600000US0600391890,600391890,454,68.3,52.2,16.1,13.0,1.5,1.5,1.15,0.0,7.5,0.0,0.0,24.2,67.4,49.8,17.6,32.6,68.3,29.3,39.0,31.7,0.0,0.0,0.0,100.0,344,15.1,0.0,1.5,6.4,11.3,17.4,15.4,10.8,0.9,21.2,23.0,8.4,8.4,9.6,3.8,11.3,31.4,4.1,0.0,23.7,451,5.5,32.4,41.0,21.1,24.0,15.2,11.9,17.2,14.8,0.0,Alpine,Markleeville
7,0600000US0600591410,600591410,3142,88.6,79.2,9.4,9.4,0.0,0.0,1.06,0.4,2.9,0.0,2.5,5.7,100.0,61.2,38.8,0.0,81.4,17.5,63.9,18.6,0.0,0.0,0.0,100.0,2964,10.5,5.6,9.5,7.1,8.2,13.2,10.4,8.7,3.7,23.0,11.4,11.1,15.4,15.9,1.7,10.6,9.0,12.9,12.0,32.3,3136,1.9,13.2,36.0,48.9,3.1,2.1,2.9,5.5,4.8,0.4,Amador,Ione
8,0600000US0600591430,600591430,2376,91.1,84.1,7.0,6.4,0.0,0.7,1.04,0.9,2.7,0.0,0.3,5.0,99.2,85.6,13.7,0.8,75.0,35.4,39.7,25.0,0.0,0.0,0.0,100.0,2257,4.3,7.3,7.7,0.6,9.1,7.7,17.8,15.5,3.4,26.6,39.3,14.2,16.3,9.5,0.9,4.3,0.2,8.9,6.4,19.2,2368,2.1,19.3,38.7,39.9,5.3,6.6,6.2,13.7,7.0,0.0,Amador,Jackson
9,0600000US0600592470,600592470,3245,88.2,79.6,8.7,6.9,1.0,0.8,1.06,1.7,1.3,0.0,1.4,7.5,99.5,70.3,29.2,0.5,65.9,9.0,56.9,34.1,0.0,0.0,0.0,100.0,3002,5.0,7.3,4.7,10.8,13.7,11.1,12.8,7.5,1.1,26.0,13.4,9.3,12.7,11.3,9.5,14.6,6.0,2.2,21.0,32.2,3243,0.2,13.7,46.2,39.9,6.5,7.3,7.6,17.3,14.0,2.4,Amador,Pine Grove-Silver Lake
