,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,MedianAge,MedianHouseholdIncome,MeanHouseholdIncome,PercentBachDegHghr
0,San Bernardino,Adelanto,35,6.9,4.8,40.6,31.7,35,6.9,3.8,40.6,25.3,42,6.9,3.2,40.6,24.6,44,6.9,2.8,40.6,28.1,45,6.9,3.0,40.6,28.7,45,6.9,3.0,40.6,27.2,45,6.9,3.2,40.6,22.0,31765,16318,15447,25.3,25.0,25.7,3.84,4.11,3280,11807,18097,3367,2243,1397,48.60,37.20,31765,29979,13909,6511,411,617,39,33,288,25,46,56,130,194,35,24,72,63,8337,30012,7809,4000,12641,9693,3806,1816,1756,827,31.9,54090.0,69091.0,18.7
1,Los Angeles,Agoura Hills,30,7.0,6.6,15.2,13.1,32,7.0,5.7,15.2,10.9,32,7.0,5.0,15.2,10.0,32,7.0,5.8,15.2,11.5,32,7.0,5.7,15.2,10.8,33,7.0,5.8,15.2,10.4,33,7.0,5.5,15.2,9.9,20330,10021,10309,42.4,41.2,43.4,2.76,3.15,896,4904,14670,5527,3707,2290,50.70,24.10,20330,19600,17147,267,51,1521,264,434,228,169,251,74,101,24,10,1,1,12,590,20242,7327,4565,6721,4682,745,155,884,299,35.1,55909.0,81416.0,29.7
2,Alameda,Alameda,45,5.5,3.8,21.4,13.8,45,5.5,3.6,21.4,12.4,45,5.5,3.2,21.4,11.6,45,5.5,2.8,21.4,10.2,45,5.5,3.0,21.4,10.1,45,5.5,2.7,21.4,8.9,45,5.5,2.6,21.4,8.2,73812,35315,38497,40.7,39.5,41.9,2.4,3.06,4182,15304,56295,20125,14672,9975,52.20,20.70,73812,68547,37460,4759,426,23058,793,10636,5419,836,1496,2041,1837,381,77,129,86,89,2463,72316,30123,13440,19626,14034,4531,1091,4596,2140,36.8,72112.0,96982.0,41.8
3,Alameda,Alameda-Unincorporated,44,4.9,3.9,19.8,16.0,44,4.9,3.6,19.8,14.9,44,4.9,4.0,19.8,16.9,44,4.9,3.2,19.8,18.2,44,4.9,2.3,19.8,9.9,44,4.9,2.7,19.8,11.5,44,4.9,2.7,19.8,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,72112.0,96982.0,41.8
4,Alameda,Albany,41,5.0,2.9,19.3,11.0,41,5.0,2.3,19.3,8.2,41,5.0,2.2,19.3,8.7,43,5.0,1.7,19.3,7.8,43,5.0,2.1,19.3,9.7,43,5.0,1.6,19.3,6.9,44,5.0,1.9,19.3,8.4,18539,8821,9718,37.0,35.8,38.2,2.49,3.0,1409,4630,13521,4112,2934,1847,52.40,25.00,18539,17295,10128,645,88,5790,340,2933,219,557,1042,87,612,37,13,4,4,16,607,18454,7401,3801,5388,4442,770,158,1094,464,36.8,72112.0,96982.0,41.8
5,Los Angeles,Alhambra,34,3.8,3.3,14.4,11.9,34,3.8,3.2,14.4,11.4,34,3.8,2.7,14.4,10.1,34,3.8,2.7,14.4,10.4,34,3.8,2.7,14.4,9.9,34,3.8,2.3,14.4,8.4,34,3.8,2.4,14.4,8.6,83089,39328,43761,39.3,37.4,41.0,2.82,3.3,4319,15707,64219,22035,16459,11912,52.70,18.90,83089,80183,23521,1281,538,43957,451,31015,2109,1224,844,4212,4102,81,31,17,23,10,10805,82475,29217,13679,22761,13224,11006,2231,5812,1553,35.1,55909.0,81416.0,29.7
6,Orange,Aliso Viejo,31,3.3,2.5,9.4,6.7,34,3.3,2.2,9.4,6.2,34,3.3,2.1,9.4,6.0,35,3.3,2.1,9.4,6.7,35,3.3,2.1,9.4,6.0,35,3.3,1.9,9.4,5.7,36,3.3,2.1,9.4,5.6,47823,23019,24804,35.1,34.6,35.6,2.6,3.16,3689,12395,33788,6496,4162,2548,51.90,25.90,47823,45086,34437,967,151,6996,1043,1135,1548,874,956,791,649,89,35,17,14,23,2446,47354,18204,9358,14582,11780,2265,480,2945,1193,36.4,75422.0,101134.0,36.8
7,Alpine,Alpine-Unincorporated,25,14.5,13.3,24.0,22.0,25,14.5,11.8,24.0,19.6,25,14.5,8.0,24.0,15.9,25,14.5,7.6,24.0,16.4,25,14.5,8.1,24.0,14.0,25,14.5,8.3,24.0,13.8,25,14.5,8.3,24.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,58636.0,69097.0,31.2
8,Modoc,Alturas,33,6.8,7.3,14.5,15.3,33,6.8,6.5,14.5,12.6,33,6.8,5.5,14.5,10.3,33,6.8,5.7,14.5,12.2,33,6.8,5.9,14.5,11.9,33,6.8,5.1,14.5,9.8,33,6.8,5.3,14.5,8.7,2827,1360,1467,39.9,38.4,41.6,2.27,2.85,189,702,2018,816,625,432,51.90,24.80,2827,2696,2430,15,81,45,13,18,5,7,0,1,1,7,6,0,1,0,118,2814,1238,507,775,636,111,51,183,111,46.9,36212.0,48765.0,18.7
9,Amador,Amador County Integrated Solid Waste Management Agency,45,7.7,5.9,24.1,17.4,45,7.7,5.1,24.1,15.1,45,7.7,5.1,24.1,15.7,45,7.7,4.6,24.1,16.1,45,7.7,4.4,24.1,14.0,45,7.7,4.1,24.1,13.4,45,7.7,4.3,24.1,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,53684.0,69891.0,19.3
