,Unnamed: 0,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,TotalHH,HH_wchildren,HH_couple,Couple_wchildren,HH_malehead,HH_malehead_wchildren,HH_femalehead,HH_femalehead_wchildren,Nonfamily_HH,HH_livingalone,HH_seniorover65,Percent_single_parent,Total_housing_units,Occupied_units,Vacant_units,For_rent_units,Rented_not_occupied_units,For_sale_units,Sold_not_occupied_units,Seasonal_units,All_other_vacans,VancancyRate,HomeownerVacancyRate,RentalVacancyRate
0,0,San Bernardino,Adelanto,35,6.9,4.8,40.6,31.7,35,6.9,3.8,40.6,25.3,42,6.9,3.2,40.6,24.6,44,6.9,2.8,40.6,28.1,45,6.9,3.0,40.6,28.7,45,6.9,3.0,40.6,27.2,45,6.9,3.2,40.6,22.0,31765.0,16318.0,15447.0,25.3,25.0,25.7,3.84325777949,4.11,3280.0,11807.0,18097.0,3367.0,2243.0,1397.0,0.48628994176000007,0.37169841020000005,31765.0,29979.0,13909.0,6511.0,411.0,617.0,39.0,33.0,288.0,25.0,46.0,56.0,130.0,194.0,35.0,24.0,72.0,63.0,8337.0,30012.0,7809.0,4000.0,12641.0,9693.0,3806.0,1816.0,1756.0,827.0,6579.0,4349.0,4000.0,2638.0,722.0,434.0,1857.0,1277.0,1230.0,910.0,209.0,0.393423775581,9086.0,7809.0,1277.0,462.0,11.0,323.0,56.0,32.0,393.0,0.140545894783,0.066,0.12300000000000001
1,1,Los Angeles,Agoura Hills,30,7.0,6.6,15.2,13.1,32,7.0,5.7,15.2,10.9,32,7.0,5.0,15.2,10.0,32,7.0,5.8,15.2,11.5,32,7.0,5.7,15.2,10.8,33,7.0,5.8,15.2,10.4,33,7.0,5.5,15.2,9.9,20330.0,10021.0,10309.0,42.4,41.2,43.4,2.76265865975,3.15,896.0,4904.0,14670.0,5527.0,3707.0,2290.0,0.507083128382,0.24121987210999998,20330.0,19600.0,17147.0,267.0,51.0,1521.0,264.0,434.0,228.0,169.0,251.0,74.0,101.0,24.0,10.0,1.0,1.0,12.0,590.0,20242.0,7327.0,4565.0,6721.0,4682.0,745.0,155.0,884.0,299.0,5593.0,2671.0,4565.0,2108.0,302.0,162.0,726.0,401.0,1734.0,1346.0,438.0,0.210782478472,7585.0,7327.0,258.0,118.0,7.0,29.0,11.0,36.0,57.0,0.0340145023072,0.005,0.068
2,2,Alameda,Alameda,45,5.5,3.8,21.4,13.8,45,5.5,3.6,21.4,12.4,45,5.5,3.2,21.4,11.6,45,5.5,2.8,21.4,10.2,45,5.5,3.0,21.4,10.1,45,5.5,2.7,21.4,8.9,45,5.5,2.6,21.4,8.2,73812.0,35315.0,38497.0,40.7,39.5,41.9,2.40069050227,3.06,4182.0,15304.0,56295.0,20125.0,14672.0,9975.0,0.521554760744,0.207337560288,73812.0,68547.0,37460.0,4759.0,426.0,23058.0,793.0,10636.0,5419.0,836.0,1496.0,2041.0,1837.0,381.0,77.0,129.0,86.0,89.0,2463.0,72316.0,30123.0,13440.0,19626.0,14034.0,4531.0,1091.0,4596.0,2140.0,18291.0,8484.0,13440.0,6099.0,1228.0,537.0,3623.0,1848.0,11832.0,9347.0,2874.0,0.281117397454,32351.0,30123.0,2228.0,942.0,65.0,164.0,63.0,207.0,787.0,0.0688695867207,0.011000000000000001,0.057
3,3,Alameda,Albany,41,5.0,2.9,19.3,11.0,41,5.0,2.3,19.3,8.2,41,5.0,2.2,19.3,8.7,43,5.0,1.7,19.3,7.8,43,5.0,2.1,19.3,9.7,43,5.0,1.6,19.3,6.9,44,5.0,1.9,19.3,8.4,18539.0,8821.0,9718.0,37,35.8,38.2,2.49344683151,3.0,1409.0,4630.0,13521.0,4112.0,2934.0,1847.0,0.524192243379,0.249743783376,18539.0,17295.0,10128.0,645.0,88.0,5790.0,340.0,2933.0,219.0,557.0,1042.0,87.0,612.0,37.0,13.0,4.0,4.0,16.0,607.0,18454.0,7401.0,3801.0,5388.0,4442.0,770.0,158.0,1094.0,464.0,4979.0,2806.0,3801.0,2117.0,295.0,158.0,883.0,531.0,2422.0,1862.0,593.0,0.245545260157,7889.0,7401.0,488.0,253.0,21.0,37.0,16.0,43.0,118.0,0.0618582836861,0.01,0.062
4,4,Los Angeles,Alhambra,34,3.8,3.3,14.4,11.9,34,3.8,3.2,14.4,11.4,34,3.8,2.7,14.4,10.1,34,3.8,2.7,14.4,10.4,34,3.8,2.7,14.4,9.9,34,3.8,2.3,14.4,8.4,34,3.8,2.4,14.4,8.6,83089.0,39328.0,43761.0,39.3,37.4,41.0,2.82284286546,3.3,4319.0,15707.0,64219.0,22035.0,16459.0,11912.0,0.526676214661,0.18903826017900002,83089.0,80183.0,23521.0,1281.0,538.0,43957.0,451.0,31015.0,2109.0,1224.0,844.0,4212.0,4102.0,81.0,31.0,17.0,23.0,10.0,10805.0,82475.0,29217.0,13679.0,22761.0,13224.0,11006.0,2231.0,5812.0,1553.0,20594.0,8079.0,13679.0,5741.0,2097.0,613.0,4818.0,1725.0,8623.0,6479.0,2301.0,0.289392251516,30915.0,29217.0,1698.0,972.0,34.0,162.0,55.0,139.0,336.0,0.0549247937894,0.013000000000000001,0.053
5,5,Orange,Aliso Viejo,31,3.3,2.5,9.4,6.7,34,3.3,2.2,9.4,6.2,34,3.3,2.1,9.4,6.0,35,3.3,2.1,9.4,6.7,35,3.3,2.1,9.4,6.0,35,3.3,1.9,9.4,5.7,36,3.3,2.1,9.4,5.6,47823.0,23019.0,24804.0,35.1,34.6,35.6,2.60129641837,3.16,3689.0,12395.0,33788.0,6496.0,4162.0,2548.0,0.51866256822,0.259184911026,47823.0,45086.0,34437.0,967.0,151.0,6996.0,1043.0,1135.0,1548.0,874.0,956.0,791.0,649.0,89.0,35.0,17.0,14.0,23.0,2446.0,47354.0,18204.0,9358.0,14582.0,11780.0,2265.0,480.0,2945.0,1193.0,12115.0,6839.0,9358.0,5311.0,791.0,425.0,1966.0,1103.0,6089.0,4416.0,638.0,0.22342447726300002,18867.0,18204.0,663.0,270.0,31.0,135.0,33.0,104.0,90.0,0.035140721895400004,0.012,0.036000000000000004
6,6,Alpine,Alpine,25,14.5,13.3,24.0,22.0,25,14.5,11.8,24.0,19.6,25,14.5,8.0,24.0,15.9,25,14.5,7.6,24.0,16.4,25,14.5,8.1,24.0,14.0,25,14.5,8.3,24.0,13.8,25,14.5,8.3,24.0,19.5,14236.0,7040.0,7196.0,41.9,41.0,42.9,2.68635670732,3.09,751.0,3403.0,10301.0,3993.0,2880.0,1953.0,0.505479067154,0.23904186569299998,14236.0,13747.0,12424.0,167.0,222.0,319.0,35.0,24.0,161.0,35.0,11.0,19.0,34.0,39.0,6.0,10.0,11.0,12.0,576.0,14098.0,5248.0,3120.0,4234.0,3038.0,795.0,297.0,701.0,322.0,3903.0,1737.0,3120.0,1292.0,268.0,149.0,515.0,296.0,1345.0,1048.0,433.0,0.256188831318,5536.0,5248.0,288.0,111.0,1.0,73.0,7.0,46.0,50.0,0.05202312138730001,0.02,0.063
7,7,Modoc,Alturas,33,6.8,7.3,14.5,15.3,33,6.8,6.5,14.5,12.6,33,6.8,5.5,14.5,10.3,33,6.8,5.7,14.5,12.2,33,6.8,5.9,14.5,11.9,33,6.8,5.1,14.5,9.8,33,6.8,5.3,14.5,8.7,2827.0,1360.0,1467.0,39.9,38.4,41.6,2.27302100162,2.85,189.0,702.0,2018.0,816.0,625.0,432.0,0.518924655111,0.248319773612,2827.0,2696.0,2430.0,15.0,81.0,45.0,13.0,18.0,5.0,7.0,0.0,1.0,1.0,7.0,6.0,0.0,1.0,0.0,118.0,2814.0,1238.0,507.0,775.0,636.0,111.0,51.0,183.0,111.0,753.0,358.0,507.0,185.0,65.0,47.0,181.0,126.0,485.0,403.0,160.0,0.483240223464,1407.0,1238.0,169.0,47.0,7.0,20.0,5.0,24.0,66.0,0.120113717129,0.027999999999999997,0.078
8,8,Amador,Amador City,45,7.7,5.9,24.1,17.4,45,7.7,5.1,24.1,15.1,45,7.7,5.1,24.1,15.7,45,7.7,4.6,24.1,16.1,45,7.7,4.4,24.1,14.0,45,7.7,4.1,24.1,13.4,45,7.7,4.3,24.1,13.9,185.0,90.0,95.0,43.5,43.0,43.5,2.17647058824,2.74,12.0,37.0,142.0,59.0,41.0,25.0,0.513513513514,0.2,185.0,179.0,171.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,185.0,85.0,35.0,40.0,32.0,7.0,3.0,18.0,10.0,47.0,19.0,35.0,11.0,3.0,2.0,9.0,6.0,38.0,26.0,9.0,0.42105263157899997,108.0,85.0,23.0,3.0,0.0,4.0,0.0,11.0,5.0,0.21296296296300002,0.069,0.08800000000000001
9,9,Napa,American Canyon,38,6.9,5.1,42.5,28.1,38,6.9,4.3,42.5,23.7,38,6.9,3.6,42.5,21.6,38,6.9,2.8,42.5,20.2,38,6.9,3.2,42.5,21.0,39,6.9,3.1,42.5,19.2,39,6.9,2.9,42.5,17.6,19454.0,9526.0,9928.0,35.5,34.0,36.8,3.4290259855,3.78,1346.0,5496.0,13065.0,3929.0,2767.0,1865.0,0.5103320653850001,0.28251259381099997,19454.0,18170.0,7564.0,1535.0,142.0,6396.0,415.0,383.0,4938.0,38.0,71.0,190.0,361.0,176.0,15.0,104.0,30.0,27.0,2357.0,19398.0,5657.0,3527.0,6849.0,4704.0,2438.0,713.0,927.0,338.0,4613.0,2481.0,3527.0,1963.0,335.0,159.0,751.0,359.0,1044.0,765.0,309.0,0.208786779524,5982.0,5657.0,325.0,48.0,6.0,120.0,38.0,27.0,86.0,0.0543296556336,0.026000000000000002,0.038
