,Year_x,Period_x,Area,Adjusted_x,Preliminary_x,Employment_x,Unemployment_x,Unemployment Rate_x,Year_y,Period_y,Adjusted_y,Preliminary_y,Employment_y,Unemployment_y,Unemployment Rate_y,Year,Period,Adjusted,Preliminary,Employment,Unemployment,Unemployment Rate
0,2014,Annual,Alameda County,Not Adj,Not Prelim,"763,700","47,700",5.9,2013,Annual,Not Adj,Not Prelim,"747,800","58,600",7.3,2005,Annual,Not Adj,Not Prelim,"696,800","37,500",5.1
1,2014,Annual,Alpine County,Not Adj,Not Prelim,450,40,8.8,2013,Annual,Not Adj,Not Prelim,470,50,9.8,2005,Annual,Not Adj,Not Prelim,480,40,8.0
2,2014,Annual,Amador County,Not Adj,Not Prelim,"13,250","1,210",8.3,2013,Annual,Not Adj,Not Prelim,"12,930","1,490",10.3,2005,Annual,Not Adj,Not Prelim,"16,240",960,5.6
3,2014,Annual,Butte County,Not Adj,Not Prelim,"93,100","8,800",8.7,2013,Annual,Not Adj,Not Prelim,"91,400","10,500",10.3,2005,Annual,Not Adj,Not Prelim,"91,700","6,600",6.7
4,2014,Annual,Calaveras County,Not Adj,Not Prelim,"18,670","1,640",8.1,2013,Annual,Not Adj,Not Prelim,"18,200","2,010",10.0,2005,Annual,Not Adj,Not Prelim,"19,250","1,280",6.2
5,2014,Annual,Colusa County,Not Adj,Not Prelim,"9,200","1,950",17.5,2013,Annual,Not Adj,Not Prelim,"9,130","2,140",19.0,2005,Annual,Not Adj,Not Prelim,"8,630","1,250",12.7
6,2014,Annual,Contra Costa County,Not Adj,Not Prelim,"510,500","33,500",6.2,2013,Annual,Not Adj,Not Prelim,"499,900","40,400",7.5,2005,Annual,Not Adj,Not Prelim,"485,200","24,700",4.8
7,2014,Annual,Del Norte County,Not Adj,Not Prelim,"9,020","1,020",10.2,2013,Annual,Not Adj,Not Prelim,"9,130","1,220",11.8,2005,Annual,Not Adj,Not Prelim,"9,940",800,7.4
8,2014,Annual,El Dorado County,Not Adj,Not Prelim,"82,600","6,200",7.0,2013,Annual,Not Adj,Not Prelim,"81,000","7,500",8.5,2005,Annual,Not Adj,Not Prelim,"86,700","4,400",4.8
9,2014,Annual,Fresno County,Not Adj,Not Prelim,"389,800","51,200",11.6,2013,Annual,Not Adj,Not Prelim,"381,800","58,100",13.2,2005,Annual,Not Adj,Not Prelim,"370,600","36,600",9.0
10,2014,Annual,Glenn County,Not Adj,Not Prelim,"11,530","1,380",10.7,2013,Annual,Not Adj,Not Prelim,"11,400","1,570",12.1,2005,Annual,Not Adj,Not Prelim,"10,570",970,8.4
11,2014,Annual,Humboldt County,Not Adj,Not Prelim,"58,500","4,300",6.8,2013,Annual,Not Adj,Not Prelim,"58,000","5,200",8.2,2005,Annual,Not Adj,Not Prelim,"55,900","3,600",6.1
12,2014,Annual,Imperial County,Not Adj,Not Prelim,"61,300","19,000",23.6,2013,Annual,Not Adj,Not Prelim,"59,200","19,600",24.9,2005,Annual,Not Adj,Not Prelim,"50,900","9,700",16.0
13,2014,Annual,Inyo County,Not Adj,Not Prelim,"8,570",640,7.0,2013,Annual,Not Adj,Not Prelim,"8,630",740,7.9,2005,Annual,Not Adj,Not Prelim,"8,830",450,4.9
14,2014,Annual,Kern County,Not Adj,Not Prelim,"353,600","41,200",10.4,2013,Annual,Not Adj,Not Prelim,"348,000","46,300",11.7,2005,Annual,Not Adj,Not Prelim,"299,400","27,300",8.4
15,2014,Annual,Kings County,Not Adj,Not Prelim,"50,500","6,900",12.1,2013,Annual,Not Adj,Not Prelim,"50,300","7,800",13.5,2005,Annual,Not Adj,Not Prelim,"48,800","5,100",9.4
16,2014,Annual,Lake County,Not Adj,Not Prelim,"27,280","2,650",8.9,2013,Annual,Not Adj,Not Prelim,"26,420","3,190",10.8,2005,Annual,Not Adj,Not Prelim,"23,930","2,060",7.9
17,2014,Annual,Lassen County,Not Adj,Not Prelim,"9,810","1,000",9.3,2013,Annual,Not Adj,Not Prelim,"9,830","1,170",10.6,2005,Annual,Not Adj,Not Prelim,"11,260",980,8.0
18,2014,Annual,Los Angeles County,Not Adj,Not Prelim,"4,610,800","415,100",8.3,2013,Annual,Not Adj,Not Prelim,"4,495,700","486,600",9.8,2005,Annual,Not Adj,Not Prelim,"4,525,200","256,400",5.4
19,2014,Annual,Madera County,Not Adj,Not Prelim,"56,200","7,000",11.0,2013,Annual,Not Adj,Not Prelim,"54,800","7,800",12.5,2005,Annual,Not Adj,Not Prelim,"57,000","4,900",7.9
20,2014,Annual,Marin County,Not Adj,Not Prelim,"134,100","6,000",4.3,2013,Annual,Not Adj,Not Prelim,"131,700","7,200",5.2,2005,Annual,Not Adj,Not Prelim,"124,100","5,000",3.9
21,2014,Annual,Mariposa County,Not Adj,Not Prelim,"7,410",710,8.8,2013,Annual,Not Adj,Not Prelim,"7,330",860,10.5,2005,Annual,Not Adj,Not Prelim,"8,230",560,6.4
22,2014,Annual,Mendocino County,Not Adj,Not Prelim,"38,230","2,840",6.9,2013,Annual,Not Adj,Not Prelim,"37,760","3,380",8.2,2005,Annual,Not Adj,Not Prelim,"41,330","2,520",5.7
23,2014,Annual,Merced County,Not Adj,Not Prelim,"100,600","14,800",12.8,2013,Annual,Not Adj,Not Prelim,"98,300","16,600",14.5,2005,Annual,Not Adj,Not Prelim,"88,900","9,900",10.0
24,2014,Annual,Modoc County,Not Adj,Not Prelim,"3,010",350,10.5,2013,Annual,Not Adj,Not Prelim,"3,050",430,12.4,2005,Annual,Not Adj,Not Prelim,"3,680",320,7.9
25,2014,Annual,Mono County,Not Adj,Not Prelim,"7,570",590,7.2,2013,Annual,Not Adj,Not Prelim,"7,650",710,8.5,2005,Annual,Not Adj,Not Prelim,"7,940",400,4.8
26,2014,Annual,Monterey County,Not Adj,Not Prelim,"199,900","19,900",9.1,2013,Annual,Not Adj,Not Prelim,"194,500","22,300",10.3,2005,Annual,Not Adj,Not Prelim,"191,500","15,000",7.3
27,2014,Annual,Napa County,Not Adj,Not Prelim,"69,900","4,100",5.6,2013,Annual,Not Adj,Not Prelim,"67,900","5,000",6.8,2005,Annual,Not Adj,Not Prelim,"68,200","3,100",4.4
28,2014,Annual,Nevada County,Not Adj,Not Prelim,"44,750","3,150",6.6,2013,Annual,Not Adj,Not Prelim,"44,160","3,870",8.1,2005,Annual,Not Adj,Not Prelim,"46,880","2,350",4.8
29,2014,Annual,Orange County,Not Adj,Not Prelim,"1,489,200","86,400",5.5,2013,Annual,Not Adj,Not Prelim,"1,464,900","101,900",6.5,2005,Annual,Not Adj,Not Prelim,"1,526,600","59,300",3.7
30,2014,Annual,Placer County,Not Adj,Not Prelim,"165,400","11,100",6.3,2013,Annual,Not Adj,Not Prelim,"162,300","13,600",7.7,2005,Annual,Not Adj,Not Prelim,"157,200","7,100",4.3
31,2014,Annual,Plumas County,Not Adj,Not Prelim,"7,190",950,11.7,2013,Annual,Not Adj,Not Prelim,"7,090","1,140",13.9,2005,Annual,Not Adj,Not Prelim,"9,280",850,8.4
