County,Eligible,Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Other,No Party Preference
Alameda,"1,041,505","807,397","445,946","107,853","16,613","10,041","4,228","2,942","43,669","176,105"
Alpine,879,750,274,221,30,12,5,1,6,201
Amador,"26,576","20,425","6,321","9,007",896,124,221,56,60,"3,740"
Butte,"168,113","118,005","38,707","42,547","4,233","1,454","1,298",513,"1,748","27,505"
Calaveras,"35,392","26,869","8,094","11,252","1,271",242,366,101,228,"5,315"
Colusa,"12,300","7,586","2,525","3,312",203,20,39,13,2,"1,472"
Contra Costa,"720,891","527,617","258,211","125,410","14,100","3,356","3,193","1,196","1,380","120,771"
Del Norte,"18,412","12,705","4,108","4,513",594,93,121,50,176,"3,050"
El Dorado,"135,806","106,253","30,285","45,504","4,403",842,"1,238",302,942,"22,737"
Fresno,"573,870","415,555","164,881","153,482","10,954","1,495","2,204","1,129","5,063","76,347"
Glenn,"18,293","11,900","3,504","5,208",451,36,85,41,22,"2,553"
Humboldt,"104,687","75,590","30,885","18,761","2,516","2,787",813,369,281,"19,178"
Imperial,"95,100","57,934","28,519","12,726","1,413",132,244,252,372,"14,276"
Inyo,"13,662","9,517","2,891","4,015",411,80,83,26,56,"1,955"
Kern,"501,795","326,437","117,036","127,439","10,804",788,"2,232",961,405,"66,772"
Kings,"77,726","47,606","17,039","21,065","1,207",92,256,91,142,"7,714"
Lake,"49,108","32,965","12,785","8,665","1,397",466,376,169,80,"9,027"
Lassen,"17,449","12,884","3,015","6,188",687,39,103,42,80,"2,730"
Los Angeles,"6,110,775","4,908,952","2,471,645","1,005,299","111,963","25,108","28,457","35,914","45,347","1,185,219"
Madera,"86,705","52,070","17,151","22,281","1,649",203,314,150,175,"10,147"
Marin,"176,998","144,647","78,553","25,459","3,196","1,967",866,263,539,"33,804"
Mariposa,"15,322","10,378","3,031","4,517",475,110,109,30,188,"1,918"
Mendocino,"64,534","46,956","21,306","9,904","1,686","1,769",453,277,183,"11,378"
Merced,"151,728","85,979","35,533","27,981","2,721",420,541,302,235,"18,246"
Modoc,"6,891","5,119","1,247","2,536",261,26,44,11,7,987
Mono,"9,601","5,752","1,886","1,993",247,57,42,18,1,"1,508"
Monterey,"236,604","165,704","83,077","39,442","3,981","1,084",943,456,241,"36,480"
Napa,"91,640","69,246","31,701","17,956","2,151",789,521,193,429,"15,506"
Nevada,"76,755","61,469","19,911","21,959","2,377","1,374",738,203,138,"14,769"
Orange,"1,969,535","1,417,579","450,704","575,329","37,907","5,621","12,087","3,613","5,096","327,222"
Placer,"260,737","200,570","54,839","92,170","4,909","1,047","2,835",455,735,"43,580"
Plumas,"15,235","11,934","3,566","5,042",624,84,116,44,5,"2,453"
Riverside,"1,398,979","881,759","312,498","346,380","27,637","2,670","5,684","3,154","7,273","176,463"
Sacramento,"963,748","677,109","291,293","205,591","20,473","3,889","5,148","5,313","1,435","143,967"
San Benito,"34,675","24,241","11,023","6,975",614,133,137,60,396,"4,903"
San Bernardino,"1,277,263","852,388","324,116","293,229","31,176","3,148","5,523","4,030","2,108","189,058"
San Diego,"2,144,036","1,549,814","535,626","505,069","53,330","7,860","13,066","4,285","5,733","424,845"
San Francisco,"628,002","432,799","239,883","35,684","7,694","6,758","2,803","1,443","2,375","136,159"
San Joaquin,"430,428","293,518","123,430","101,392","7,957",860,"1,585",924,"1,308","56,062"
San Luis Obispo,"202,745","148,821","48,857","59,047","4,368","1,275","1,338",330,"1,791","31,815"
San Mateo,"492,587","353,968","179,167","65,701","7,714","2,456","1,991",793,905,"95,241"
Santa Barbara,"281,936","188,886","75,673","56,185","5,056","1,451","1,461",446,"2,094","46,520"
Santa Clara,"1,163,339","807,679","356,431","177,175","17,089","4,271","5,222","2,209","1,502","243,780"
Santa Cruz,"188,566","140,594","75,536","22,593","3,425","2,712","1,315",524,750,"33,739"
Shasta,"135,327","92,053","23,307","42,041","3,686",411,912,299,374,"21,023"
Sierra,"2,494","2,218",615,900,137,24,29,6,53,454
Siskiyou,"35,262","24,618","7,637","9,819","1,121",195,282,92,54,"5,418"
Solano,"285,011","201,326","96,326","48,714","5,883",857,"1,254",544,953,"46,795"
Sonoma,"342,266","239,995","123,647","50,488","6,162","4,105","1,890",712,"1,568","51,423"
Stanislaus,"327,303","213,533","78,184","87,816","6,143",612,"1,274",589,"2,412","36,503"
Sutter,"59,871","41,508","13,182","17,863","1,372",129,282,136,884,"7,660"
Tehama,"43,769","29,948","8,516","12,896","1,551",123,278,110,121,"6,353"
Trinity,"11,091","7,209","2,362","2,403",373,116,96,30,111,"1,718"
Tulare,"256,861","131,379","40,966","60,378","4,447",398,788,372,203,"23,827"
Tuolumne,"39,999","28,921","9,041","12,138","1,242",215,279,88,61,"5,857"
Ventura,"543,490","430,432","167,910","146,445","11,186","2,321","3,114","1,105","6,054","92,297"
Yolo,"141,165","91,552","42,574","21,682","2,598",949,692,416,146,"22,495"
Yuba,"47,937","27,318","8,197","10,585","1,360",140,262,102,69,"6,603"
